image,filename,actual_emotion,reason,face_detected,blur_variance,brightness,face_fraction
test_dataset\angry\im108 - Copy.png,im108 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im120 - Copy.png,im120 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im121 - Copy.png,im121 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im13 - Copy.png,im13 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im14 - Copy.png,im14 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im147 - Copy.png,im147 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im149 - Copy.png,im149 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im15 - Copy.png,im15 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im150 - Copy.png,im150 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im155 - Copy.png,im155 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im164 - Copy.png,im164 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im175 - Copy.png,im175 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im176 - Copy.png,im176 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im204 - Copy.png,im204 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
test_dataset\angry\im206 - Copy.png,im206 - Copy.png,angry,no_face_detected (Face could not be detected in numpy array.Please confirm that the picture is a face photo or consider to set enforce_detection param to False.),False,0.0,0.0,0.0
